Field.ID,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,,Sample.Index,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1,2.5,4.6,4.9,6.3,0.13,1.64,99,44,1,237,12,40,3,,0,8.6,87,9,,1-K1-0-17,2018-08-23,Kemp,5.40,1,0,17
2,1.3,5.36,5.4,6.5,0.09,0.71,101,41,1,194,13,32,4,,0,6.1,85,6,,2-K1-17-45,2018-08-23,Kemp,5.40,1,17,45
3,0.4,6.28,5.6,7.1,0.08,0.11,37,26,4,327,96,58,28,,0,0,0,1,,3-K1-45-60,2018-08-23,Kemp,5.40,1,45,60
4,64.8,0.81,4.4,5.6,1.27,35.42,11,51,1,532,14,87,4,,0,16.3,85,101,,4-K2-Muck,2018-08-23,Kemp,5.40,2,,
5,4,4.38,4.7,6.1,0.18,2.52,63,67,1,382,15,85,5,,0,10.9,84,13,,5-K3-0-15,2018-08-23,Kemp,5.40,3,0,15
6,1.5,5.05,5.1,6.4,0.12,0.77,40,57,2,170,11,39,4,,0,7,87,7,,6-K3-15-35,2018-08-23,Kemp,5.40,3,15,35
7,0.8,5.76,5.2,6.7,0.11,0.33,24,63,3,189,19,38,6,,0,4,78,4,,7-K3-35-50,2018-08-23,Kemp,5.40,3,35,50
8,2.5,4.89,4.5,6.1,0.13,1.63,18,42,1,122,5,22,2,,0,10.7,94,10,,8-K4-0-15,2018-08-23,Kemp,5.40,4,0,15
9,1.4,5.44,5,6.4,0.11,0.68,64,29,1,22,1,6,1,,0,7.3,98,6,,9-K4-15-30,2018-08-23,Kemp,5.40,4,15,30
10,0.8,5.51,4.4,6.5,0.11,0.34,16,23,1,22,2,5,1,,0,5.5,97,4,,10-K4-30-50,2018-08-23,Kemp,5.40,4,30,50
