date,CO2.atmo,water.soil.ratio,sample,pH,time
2019-08-13,chamber,,standard,7.39,10:09
2019-08-13,chamber,,standard,6.47,10:26
2019-08-13,chamber,,standard,6.22,10:35
2019-08-13,chamber,,standard,6.15,10:44
2019-08-13,chamber,,standard,6.14,10:51
2019-08-13,chamber,,standard,6.05,11:02
2019-08-13,chamber,,standard,6.04,11:15
2019-08-13,chamber,,standard,6.02,11:41
2019-08-13,chamber,,standard,6,12:12
2019-08-13,chamber,,standard,5.93,12:47
2019-08-13,chamber,,standard,5.99,13:33
2019-08-13,chamber,,standard,6.09,14:04
2019-08-13,chamber,,standard,6.17,14:39
2019-08-13,chamber,,standard,6.17,15:06
2019-08-13,chamber,,standard,6.1,15:37
2019-08-13,chamber,,standard,6.05,16:05
2019-08-13,chamber,,standard,6.11,16:48
2019-08-13,chamber,,standard,6.04,17:24
2019-08-13,chamber,,standard,6.06,18:04
2019-08-13,chamber,,standard,6.09,18:38
2019-08-13,chamber,,standard,6.02,19:07
2019-08-13,chamber,,standard,6.07,20:11
2019-08-13,chamber,,standard,6.04,20:53
2019-08-13,chamber,1-to-1,1,5.13,10:36
2019-08-13,chamber,1-to-1,2,5.1,
2019-08-13,chamber,1-to-1,3,5.33,
2019-08-13,chamber,1-to-1,5,4.87,
2019-08-13,chamber,1-to-1,6,5.2,
2019-08-13,chamber,1-to-1,7,5.15,
2019-08-13,chamber,1-to-1,8,4.74,
2019-08-13,chamber,1-to-1,9,5.15,
2019-08-13,chamber,1-to-1,10,4.98,
2019-08-13,chamber,1-to-1,11,5.79,
2019-08-13,chamber,1-to-1,12,5.51,
2019-08-13,chamber,1-to-1,13,5.52,
2019-08-13,chamber,1-to-1,14,6.45,
2019-08-13,chamber,1-to-1,15,5.77,
2019-08-13,chamber,1-to-1,16,5.72,
2019-08-13,chamber,1-to-1,17,5.83,
2019-08-13,chamber,1-to-1,18,5.79,
2019-08-13,chamber,1-to-1,19,5.57,
2019-08-13,chamber,1-to-1,20,6.55,
2019-08-13,chamber,1-to-1,21,5.9,
2019-08-13,chamber,1-to-1,22,5.18,
2019-08-13,chamber,1-to-1,23,6.59,
2019-08-13,chamber,1-to-1,24,6.54,
2019-08-13,chamber,1-to-1,25,5.44,
2019-08-13,chamber,1-to-1,26,5.82,
2019-08-13,chamber,1-to-1,27,5.66,
2019-08-13,chamber,1-to-1,28,5.21,
2019-08-13,chamber,1-to-1,29,5.5,
2019-08-13,chamber,1-to-1,30,6.28,
2019-08-13,chamber,1-to-1,31,6.42,
2019-08-13,chamber,1-to-1,32,6.25,
2019-08-13,chamber,1-to-1,33,6.26,
2019-08-13,chamber,1-to-1,34,6.13,
2019-08-13,chamber,1-to-1,35,6.7,
2019-08-13,chamber,1-to-1,36,6.66,
2019-08-13,chamber,1-to-1,37,6.67,
2019-08-13,chamber,1-to-1,38,6.62,
2019-08-13,chamber,1-to-1,39,6.71,
2019-08-13,chamber,1-to-1,40,6.63,
2019-08-13,chamber,1-to-1,41,6.34,
2019-08-13,chamber,1-to-1,42,6.42,
2019-08-13,chamber,1-to-1,43,6.05,
2019-08-13,chamber,1-to-1,44,5.94,
2019-08-13,chamber,1-to-1,45,5.85,
2019-08-13,chamber,1-to-1,46,5.73,
2019-08-13,chamber,1-to-1,47,5.71,
2019-08-13,chamber,1-to-1,48,5.61,
2019-08-13,chamber,1-to-1,50,6.34,
2019-08-13,chamber,1-to-1,51,6.43,
2019-08-13,chamber,1-to-1,52,6.36,
2019-08-13,chamber,1-to-1,53,5.96,
2019-08-13,chamber,1-to-1,54,6.16,
2019-08-13,chamber,1-to-1,55,5.92,
2019-08-13,chamber,1-to-1,56,5.65,
2019-08-13,chamber,1-to-1,57,6.44,
2019-08-13,chamber,1-to-1,58,6.3,
2019-08-13,chamber,1-to-1,59,6.33,
2019-08-13,chamber,1-to-1,60,6.89,
2019-08-13,chamber,1-to-1,61,6.96,
2019-08-13,chamber,1-to-1,62,6.76,
2019-08-13,chamber,1-to-1,63,7.29,
2019-08-13,chamber,1-to-1,64,6.79,
2019-08-13,chamber,1-to-1,65,6.81,
2019-08-13,chamber,1-to-1,181,6.31,
2019-08-13,chamber,1-to-1,182,6.4,
2019-08-13,chamber,1-to-1,183,6.85,
2019-08-13,chamber,1-to-1,184,6.53,
2019-08-13,chamber,1-to-1,185,6.16,
2019-08-13,chamber,1-to-1,186,6.3,
2019-08-13,chamber,1-to-1,187,6.08,
2019-08-13,chamber,1-to-1,188,5.78,
2019-08-13,chamber,1-to-1,189,5.92,
2019-08-13,chamber,1-to-1,190,5.64,
2019-08-13,chamber,1-to-1,191,5.5,
2019-08-13,chamber,1-to-1,192,5.61,
2019-08-13,chamber,1-to-1,193,6.22,
2019-08-13,chamber,1-to-1,194,5.03,
2019-08-13,chamber,1-to-1,195,5.52,
2019-08-13,chamber,1-to-1,196,6.42,
2019-08-13,chamber,1-to-1,197,6.43,
2019-08-13,chamber,1-to-1,198,6.71,
2019-08-13,chamber,1-to-1,199,5.1,
2019-08-13,chamber,1-to-1,200,6.03,
2019-08-13,chamber,1-to-1,201,5.74,
2019-08-13,chamber,1-to-1,202,6.31,
2019-08-13,chamber,1-to-1,203,6.31,
2019-08-13,chamber,1-to-1,204,6.28,
2019-08-13,chamber,1-to-1,205,7.04,
2019-08-13,chamber,1-to-1,206,5.65,
2019-08-13,chamber,1-to-1,207,6.06,
2019-08-13,chamber,1-to-1,208,6.05,
2019-08-13,chamber,1-to-1,209,5.7,
2019-08-13,chamber,1-to-1,210,5.94,
2019-08-13,chamber,1-to-1,211,5.29,
2019-08-13,chamber,1-to-1,212,5.01,
2019-08-13,chamber,1-to-1,213,5.44,
2019-08-13,chamber,1-to-1,214,5.8,
2019-08-13,chamber,1-to-1,215,5.93,
2019-08-13,chamber,1-to-1,216,5.49,
2019-08-13,chamber,1-to-1,217,6.39,
2019-08-13,chamber,1-to-1,218,6.9,
2019-08-13,chamber,1-to-1,219,6.58,
2019-08-13,chamber,1-to-1,220,6.94,
2019-08-13,chamber,1-to-1,221,6.27,
2019-08-13,chamber,1-to-1,222,6.5,
2019-08-13,chamber,1-to-1,223,6.62,
2019-08-13,chamber,1-to-1,224,6.33,
2019-08-13,chamber,1-to-1,225,6.87,
2019-08-13,chamber,1-to-1,226,6.81,
2019-08-13,chamber,1-to-1,227,6.7,
2019-08-13,chamber,1-to-1,228,6.58,
2019-08-13,chamber,1-to-1,229,5.04,
2019-08-13,chamber,1-to-1,230,4.79,
2019-08-13,chamber,1-to-1,231,6.36,
2019-08-13,chamber,1-to-1,232,6.18,
2019-08-13,chamber,1-to-1,233,6.09,
2019-08-13,chamber,1-to-1,234,6,
2019-08-13,chamber,1-to-1,235,6.79,
2019-08-13,chamber,1-to-1,236,6.55,
2019-08-13,chamber,1-to-1,237,6.73,
2019-08-13,chamber,1-to-1,238,5.68,
2019-08-13,chamber,1-to-1,239,5.97,
2019-08-13,chamber,1-to-1,240,5.6,
2019-08-13,chamber,1-to-1,241,5.06,
2019-08-13,chamber,1-to-1,242,5.4,
2019-08-13,chamber,1-to-1,tapwater,8.59,
2019-08-13,chamber,1-to-1,carbonate,6.59,
2019-08-13,chamber,1-to-1,aceticacid,3.59,
2019-08-13,chamber,1-to-2,1,4.93,
2019-08-13,chamber,1-to-2,2,5.33,
2019-08-13,chamber,1-to-2,3,5.01,
2019-08-13,chamber,1-to-2,5,5.01,
2019-08-13,chamber,1-to-2,6,5.22,
2019-08-13,chamber,1-to-2,7,5.24,
2019-08-13,chamber,1-to-2,8,4.91,
2019-08-13,chamber,1-to-2,9,5.1,
2019-08-13,chamber,1-to-2,10,4.91,
2019-08-13,chamber,1-to-2,11,5.53,
2019-08-13,chamber,1-to-2,12,5.65,
2019-08-13,chamber,1-to-2,13,5.61,
2019-08-13,chamber,1-to-2,14,7.99,
2019-08-13,chamber,1-to-2,15,6.52,
2019-08-13,chamber,1-to-2,16,6.05,
2019-08-13,chamber,1-to-2,17,6.14,
2019-08-13,chamber,1-to-2,18,6.01,
2019-08-13,chamber,1-to-2,19,5.66,
2019-08-13,chamber,1-to-2,20,7.02,
2019-08-13,chamber,1-to-2,21,6.12,
