,sensor [K-33 ICB],,
,CO2,,,
08/13/19 14:27:04.834,"22170",,
08/13/19 14:27:34.829,"22220",,
08/13/19 14:28:04.827,"22160",,
08/13/19 14:28:34.827,"22110",,
08/13/19 14:29:04.827,"22170",,
08/13/19 14:29:34.827,"22160",,
08/13/19 14:30:04.834,"22140",,
08/13/19 14:30:34.829,"22120",,
08/13/19 14:31:04.827,"22140",,
08/13/19 14:31:34.827,"22180",,
08/13/19 14:32:04.827,"22160",,
08/13/19 14:32:34.827,"22150",,
08/13/19 14:33:04.832,"22130",,
08/13/19 14:33:34.828,"22120",,
08/13/19 14:34:04.827,"22150",,
08/13/19 14:34:34.827,"22180",,
08/13/19 14:35:04.827,"22150",,
08/13/19 14:35:34.827,"22120",,
08/13/19 14:36:04.827,"22120",,
08/13/19 14:36:34.827,"22150",,
08/13/19 14:37:04.827,"22200",,
08/13/19 14:37:34.827,"22240",,
08/13/19 14:38:04.827,"22210",,
08/13/19 14:38:34.834,"22180",,
08/13/19 14:39:04.832,"22140",,
08/13/19 14:39:34.827,"22160",,
08/13/19 14:40:04.827,"22170",,
08/13/19 14:40:34.827,"22180",,
08/13/19 14:41:04.827,"22200",,
08/13/19 14:41:34.833,"22210",,
08/13/19 14:42:04.827,"22220",,
08/13/19 14:42:34.827,"22230",,
08/13/19 14:43:04.827,"22180",,
08/13/19 14:43:34.827,"22180",,
08/13/19 14:44:04.827,"22180",,
08/13/19 14:44:34.828,"22180",,
08/13/19 14:45:04.827,"22230",,
08/13/19 14:45:34.828,"22220",,
08/13/19 14:46:04.827,"22180",,
08/13/19 14:46:34.827,"22160",,
08/13/19 14:47:04.828,"22180",,
08/13/19 14:47:34.827,"22150",,
08/13/19 14:48:04.827,"22140",,
08/13/19 14:48:34.827,"22150",,
08/13/19 14:49:04.827,"22180",,
08/13/19 14:49:34.827,"22190",,
08/13/19 14:50:04.828,"22210",,
08/13/19 14:50:34.827,"22180",,
08/13/19 14:51:04.827,"22270",,
08/13/19 14:51:34.827,"22240",,
08/13/19 14:51:34.827,"22240",,
08/13/19 14:52:04.827,"22240",,
08/13/19 14:52:34.827,"22250",,
08/13/19 14:53:04.833,"22260",,
08/13/19 14:53:34.832,"22200",,
08/13/19 14:54:04.827,"22200",,
08/13/19 14:54:34.827,"22220",,
08/13/19 14:55:04.827,"22190",,
08/13/19 14:55:34.827,"22170",,
08/13/19 14:56:04.827,"22210",,
08/13/19 14:56:34.827,"22190",,
08/13/19 14:57:04.827,"22210",,
08/13/19 14:57:34.827,"22190",,
08/13/19 14:58:04.827,"22220",,
08/13/19 14:58:34.827,"22250",,
08/13/19 14:59:04.827,"22270",,
08/13/19 14:59:34.827,"22250",,
08/13/19 15:00:04.827,"22260",,
08/13/19 15:00:34.827,"22240",,
08/13/19 15:01:04.827,"22250",,
08/13/19 15:01:34.827,"22230",,
08/13/19 15:02:04.827,"22210",,
08/13/19 15:02:34.827,"22200",,
08/13/19 15:03:04.827,"22250",,
08/13/19 15:03:34.827,"22260",,
08/13/19 15:04:04.827,"22240",,
08/13/19 15:04:34.827,"22270",,
08/13/19 15:05:04.828,"22270",,
08/13/19 15:05:34.827,"22330",,
08/13/19 15:06:04.827,"22310",,
08/13/19 15:06:34.827,"22330",,
08/13/19 15:07:04.827,"22350",,
08/13/19 15:07:34.829,"22320",,
08/13/19 15:08:04.832,"22320",,
