date,CO2.atmo,water.soil.ratio,sample,pH,time
2019-08-19,laboratory,,standard,6.83,09:52
2019-08-19,laboratory,,standard,6.91,10:13
2019-08-19,laboratory,,standard,7.12,10:31
2019-08-19,laboratory,,standard,6.97,10:49
2019-08-19,laboratory,,standard,7.14,11:13
2019-08-19,laboratory,,standard,6.95,11:36
2019-08-19,laboratory,,standard,6.98,12:17
2019-08-19,laboratory,1-to-2,1,4.87,
2019-08-19,laboratory,1-to-2,2,5.2,
2019-08-19,laboratory,1-to-2,3,5.48,
2019-08-19,laboratory,1-to-2,5,4.99,
2019-08-19,laboratory,1-to-2,6,5.28,
2019-08-19,laboratory,1-to-2,7,5.2,
2019-08-19,laboratory,1-to-2,8,4.87,
2019-08-19,laboratory,1-to-2,9,5.13,
2019-08-19,laboratory,1-to-2,10,5.03,
2019-08-19,laboratory,1-to-2,11,5.53,
2019-08-19,laboratory,1-to-2,12,5.6,
2019-08-19,laboratory,1-to-2,13,5.61,
2019-08-19,laboratory,1-to-2,14,6.78,
2019-08-19,laboratory,1-to-2,15,5.94,
2019-08-19,laboratory,1-to-2,16,5.84,
2019-08-19,laboratory,1-to-2,17,5.93,
2019-08-19,laboratory,1-to-2,18,5.88,
2019-08-19,laboratory,1-to-2,19,5.56,
2019-08-19,laboratory,1-to-2,20,6.77,
2019-08-19,laboratory,1-to-2,21,5.86,
2019-08-19,laboratory,1-to-2,22,5.21,
2019-08-19,laboratory,1-to-2,23,6.99,
2019-08-19,laboratory,1-to-2,24,6.6,
2019-08-19,laboratory,1-to-2,25,5.49,
2019-08-19,laboratory,1-to-2,26,6.12,
2019-08-19,laboratory,1-to-2,27,5.52,
2019-08-19,laboratory,1-to-2,28,5.29,
2019-08-19,laboratory,1-to-2,29,5.65,
2019-08-19,laboratory,1-to-2,30,6.76,
2019-08-19,laboratory,1-to-2,31,6.73,
2019-08-19,laboratory,1-to-2,32,6.69,
2019-08-19,laboratory,1-to-2,33,6.68,
2019-08-19,laboratory,1-to-2,34,7.03,
2019-08-19,laboratory,1-to-2,35,7.07,
2019-08-19,laboratory,1-to-2,36,6.85,
2019-08-19,laboratory,1-to-2,37,6.93,
2019-08-19,laboratory,1-to-2,38,7.43,
2019-08-19,laboratory,1-to-2,39,7.05,
2019-08-19,laboratory,1-to-2,40,7.01,
2019-08-19,laboratory,1-to-2,41,6.64,
2019-08-19,laboratory,1-to-2,42,7.02,
2019-08-19,laboratory,1-to-2,43,6.4,
2019-08-19,laboratory,1-to-2,44,6.37,
2019-08-19,laboratory,1-to-2,45,6.33,
2019-08-19,laboratory,1-to-2,46,6.35,
2019-08-19,laboratory,1-to-2,47,6.2,
2019-08-19,laboratory,1-to-2,48,6.02,
2019-08-19,laboratory,1-to-2,50,6.74,
2019-08-19,laboratory,1-to-2,51,6.7,
2019-08-19,laboratory,1-to-2,52,6.8,
2019-08-19,laboratory,1-to-2,53,6.43,
2019-08-19,laboratory,1-to-2,54,5.98,
2019-08-19,laboratory,1-to-2,55,6.07,
2019-08-19,laboratory,1-to-2,56,5.93,
2019-08-19,laboratory,1-to-2,57,6.74,
2019-08-19,laboratory,1-to-2,58,6.95,
2019-08-19,laboratory,1-to-2,59,6.84,
2019-08-19,laboratory,1-to-2,60,7.31,
2019-08-19,laboratory,1-to-2,61,7.43,
2019-08-19,laboratory,1-to-2,62,7.47,
2019-08-19,laboratory,1-to-2,63,7.6,
2019-08-19,laboratory,1-to-2,64,7.65,
2019-08-19,laboratory,1-to-2,65,7.37,
2019-08-19,laboratory,1-to-2,181,6.46,
2019-08-19,laboratory,1-to-2,182,7.54,
2019-08-19,laboratory,1-to-2,183,6.55,
2019-08-19,laboratory,1-to-2,184,7.09,
2019-08-19,laboratory,1-to-2,185,6.63,
2019-08-19,laboratory,1-to-2,186,6.36,
2019-08-19,laboratory,1-to-2,187,6.56,
2019-08-19,laboratory,1-to-2,188,6.54,
2019-08-19,laboratory,1-to-2,189,6.93,
2019-08-19,laboratory,1-to-2,190,5.92,
2019-08-19,laboratory,1-to-2,191,5.54,
2019-08-19,laboratory,1-to-2,192,5.65,
