,sensor [K-33 ICB],,
,CO2,,,
08/14/19 11:17:35.064,"350",,
08/14/19 11:18:05.064,"330",,
08/14/19 11:18:35.064,"310",,
08/14/19 11:19:05.064,"280",,
08/14/19 11:19:35.064,"280",,
08/14/19 11:20:05.064,"270",,
08/14/19 11:20:35.064,"280",,
08/14/19 11:21:05.064,"280",,
08/14/19 11:21:35.064,"280",,
08/14/19 11:22:05.064,"290",,
08/14/19 11:22:35.064,"290",,
08/14/19 11:23:05.064,"310",,
08/14/19 11:23:35.064,"300",,
08/14/19 11:24:05.064,"270",,
08/14/19 11:24:35.064,"300",,
08/14/19 11:25:05.064,"270",,
08/14/19 11:25:35.064,"260",,
08/14/19 11:26:05.064,"260",,
08/14/19 11:26:35.064,"290",,
08/14/19 11:27:05.064,"280",,
08/14/19 11:27:35.064,"300",,
08/14/19 11:28:05.064,"310",,
08/14/19 11:28:35.064,"250",,
08/14/19 11:29:05.064,"230",,
08/14/19 11:29:35.064,"240",,
08/14/19 11:30:05.064,"260",,
08/14/19 11:30:35.064,"250",,
08/14/19 11:31:05.064,"250",,
08/14/19 11:31:35.064,"240",,
08/14/19 11:32:05.064,"250",,
08/14/19 11:32:35.064,"270",,
08/14/19 11:33:05.064,"260",,
08/14/19 11:33:35.065,"260",,
08/14/19 11:34:05.064,"260",,
08/14/19 11:34:35.064,"260",,
08/14/19 11:35:05.064,"250",,
08/14/19 11:35:35.064,"230",,
08/14/19 11:36:05.064,"240",,
08/14/19 11:36:35.064,"230",,
08/14/19 11:37:05.064,"230",,
08/14/19 11:37:35.064,"220",,
08/14/19 11:38:05.064,"240",,
08/14/19 11:38:35.064,"240",,
08/14/19 11:39:05.064,"230",,
08/14/19 11:39:35.064,"220",,
08/14/19 11:40:05.064,"220",,
08/14/19 11:40:35.064,"230",,
08/14/19 11:41:05.064,"230",,
08/14/19 11:41:35.064,"230",,
08/14/19 11:42:05.064,"240",,
08/14/19 11:42:05.064,"240",,
08/14/19 11:42:35.064,"250",,
08/14/19 11:43:05.064,"250",,
08/14/19 11:43:35.064,"250",,
08/14/19 11:44:05.064,"210",,
08/14/19 11:44:35.064,"210",,
08/14/19 11:45:05.064,"240",,
08/14/19 11:45:35.064,"220",,
08/14/19 11:46:05.064,"240",,
08/14/19 11:46:35.064,"240",,
08/14/19 11:47:05.064,"270",,
08/14/19 11:47:35.064,"260",,
08/14/19 11:48:05.064,"250",,
08/14/19 11:48:35.064,"220",,
08/14/19 11:49:05.064,"210",,
08/14/19 11:49:35.064,"220",,
08/14/19 11:50:05.064,"210",,
08/14/19 11:50:35.064,"210",,
08/14/19 11:51:05.064,"210",,
08/14/19 11:51:35.064,"210",,
08/14/19 11:52:05.064,"230",,
08/14/19 11:52:35.064,"190",,
08/14/19 11:53:05.064,"200",,
08/14/19 11:53:35.064,"230",,
08/14/19 11:54:05.064,"230",,
08/14/19 11:54:35.064,"170",,
08/14/19 11:55:05.064,"180",,
08/14/19 11:55:35.064,"180",,
08/14/19 11:56:05.064,"180",,
08/14/19 11:56:35.064,"190",,
08/14/19 11:57:05.064,"210",,
08/14/19 11:57:35.064,"230",,
08/14/19 11:58:05.064,"220",,
08/14/19 11:58:35.064,"220",,
08/14/19 11:59:05.064,"230",,
08/14/19 11:59:35.064,"260",,
08/14/19 12:00:05.064,"230",,
08/14/19 12:00:35.064,"210",,
08/14/19 12:01:05.064,"220",,
08/14/19 12:01:35.064,"210",,
08/14/19 12:02:05.064,"250",,
08/14/19 12:02:35.064,"240",,
08/14/19 12:03:05.064,"260",,
08/14/19 12:03:35.064,"260",,
08/14/19 12:04:05.064,"280",,
08/14/19 12:04:35.064,"280",,
08/14/19 12:05:05.064,"260",,
08/14/19 12:05:35.064,"220",,
08/14/19 12:06:05.064,"220",,
08/14/19 12:06:35.064,"220",,
08/14/19 12:07:05.064,"200",,
08/14/19 12:07:35.064,"180",,
08/14/19 12:07:35.064,"180",,
08/14/19 12:08:05.064,"210",,
08/14/19 12:08:35.064,"240",,
08/14/19 12:09:05.064,"240",,
08/14/19 12:09:35.064,"250",,
08/14/19 12:10:05.064,"250",,
08/14/19 12:10:35.064,"270",,
08/14/19 12:11:05.064,"280",,
08/14/19 12:11:35.064,"260",,
08/14/19 12:12:05.064,"270",,
08/14/19 12:12:35.064,"240",,
08/14/19 12:13:05.064,"250",,
08/14/19 12:13:35.064,"240",,
08/14/19 12:14:05.064,"240",,
08/14/19 12:14:35.064,"260",,
08/14/19 12:15:05.064,"320",,
08/14/19 12:15:35.064,"310",,
08/14/19 12:16:05.064,"310",,
08/14/19 12:16:35.064,"320",,
08/14/19 12:17:05.064,"320",,
08/14/19 12:17:35.064,"320",,
08/14/19 12:18:05.064,"280",,
08/14/19 12:18:35.064,"290",,
08/14/19 12:19:05.064,"290",,
08/14/19 12:19:35.064,"300",,
08/14/19 12:20:05.064,"300",,
08/14/19 12:20:35.064,"300",,
08/14/19 12:21:05.064,"300",,
08/14/19 12:21:35.064,"290",,
08/14/19 12:22:05.064,"300",,
08/14/19 12:22:35.064,"290",,
08/14/19 12:23:05.064,"280",,
08/14/19 12:23:35.064,"290",,
08/14/19 12:24:05.064,"300",,
08/14/19 12:24:35.064,"290",,
08/14/19 12:25:05.064,"290",,
08/14/19 12:25:35.064,"280",,
08/14/19 12:26:05.064,"260",,
08/14/19 12:26:35.064,"290",,
08/14/19 12:27:05.064,"330",,
08/14/19 12:27:35.064,"320",,
08/14/19 12:28:05.064,"360",,
08/14/19 12:28:35.064,"340",,
08/14/19 12:29:05.064,"330",,
08/14/19 12:29:35.064,"350",,
08/14/19 12:30:05.064,"340",,
08/14/19 12:30:35.065,"340",,
08/14/19 12:31:05.064,"320",,
08/14/19 12:31:35.064,"300",,
08/14/19 12:32:05.064,"300",,
08/14/19 12:32:35.064,"260",,
08/14/19 12:33:05.064,"260",,
08/14/19 12:33:05.064,"260",,
08/14/19 12:33:35.064,"250",,
08/14/19 12:34:05.064,"250",,
08/14/19 12:34:35.064,"240",,
08/14/19 12:35:05.064,"260",,
08/14/19 12:35:35.064,"260",,
08/14/19 12:36:05.064,"260",,
08/14/19 12:36:35.064,"280",,
08/14/19 12:37:05.064,"260",,
08/14/19 12:37:35.064,"230",,
08/14/19 12:38:05.064,"260",,
08/14/19 12:38:35.064,"250",,
08/14/19 12:39:05.064,"260",,
08/14/19 12:39:35.064,"260",,
08/14/19 12:40:05.064,"250",,
08/14/19 12:40:35.064,"280",,
08/14/19 12:41:05.064,"290",,
08/14/19 12:41:35.064,"280",,
08/14/19 12:42:05.064,"260",,
08/14/19 12:42:35.064,"310",,
08/14/19 12:43:05.064,"290",,
08/14/19 12:43:35.064,"260",,
08/14/19 12:44:05.064,"270",,
08/14/19 12:44:35.064,"280",,
08/14/19 12:45:05.064,"290",,
08/14/19 12:45:35.064,"260",,
08/14/19 12:46:05.064,"260",,
08/14/19 12:46:35.064,"280",,
08/14/19 12:47:05.064,"260",,
08/14/19 12:47:35.064,"270",,
08/14/19 12:48:05.064,"270",,
08/14/19 12:48:35.064,"260",,
08/14/19 12:49:05.064,"260",,
08/14/19 12:49:35.065,"270",,
08/14/19 12:50:05.064,"260",,
08/14/19 12:50:35.064,"280",,
08/14/19 12:51:05.064,"240",,
08/14/19 12:51:35.064,"240",,
08/14/19 12:52:05.064,"250",,
08/14/19 12:52:35.064,"260",,
08/14/19 12:53:05.064,"270",,
08/14/19 12:53:35.064,"270",,
08/14/19 12:54:05.064,"250",,
08/14/19 12:54:35.064,"270",,
08/14/19 12:55:05.064,"260",,
08/14/19 12:55:35.064,"270",,
08/14/19 12:56:05.064,"270",,
08/14/19 12:56:35.064,"270",,
08/14/19 12:57:05.064,"260",,
08/14/19 12:57:35.064,"260",,
08/14/19 12:58:05.064,"260",,
08/14/19 12:58:35.064,"250",,
08/14/19 12:58:35.064,"250",,
08/14/19 12:59:05.064,"260",,
08/14/19 12:59:35.065,"240",,
08/14/19 13:00:05.064,"230",,
08/14/19 13:00:35.064,"230",,
08/14/19 13:01:05.064,"190",,
08/14/19 13:01:35.064,"220",,
08/14/19 13:02:05.064,"260",,
08/14/19 13:02:35.064,"240",,
08/14/19 13:03:05.064,"250",,
08/14/19 13:03:35.064,"260",,
08/14/19 13:04:05.064,"240",,
08/14/19 13:04:35.064,"230",,
08/14/19 13:05:05.064,"230",,
08/14/19 13:05:35.064,"270",,
08/14/19 13:06:05.064,"290",,
08/14/19 13:06:35.064,"240",,
08/14/19 13:07:05.064,"270",,
08/14/19 13:07:35.064,"230",,
08/14/19 13:08:05.064,"260",,
08/14/19 13:08:35.064,"280",,
08/14/19 13:09:05.064,"270",,
08/14/19 13:09:35.064,"310",,
08/14/19 13:10:05.064,"280",,
08/14/19 13:10:35.064,"270",,
08/14/19 13:11:05.064,"290",,
08/14/19 13:11:35.064,"290",,
08/14/19 13:12:05.065,"300",,
08/14/19 13:12:35.064,"280",,
08/14/19 13:13:05.064,"280",,
08/14/19 13:13:35.064,"260",,
08/14/19 13:14:05.064,"270",,
08/14/19 13:14:35.064,"270",,
