date,CO2.atmo,water.soil.ratio,sample,pH,time
2019-08-21,laboratory,,standard,6.9,10:02
2019-08-21,laboratory,,standard,6.94,10:49
2019-08-21,laboratory,,standard,6.88,11:32
2019-08-21,laboratory,,standard,6.91,12:02
2019-08-21,laboratory,1-to-4,2,5.22,
2019-08-21,laboratory,1-to-4,3,5.27,
2019-08-21,laboratory,1-to-4,6,4.98,
2019-08-21,laboratory,1-to-4,7,4.99,
2019-08-21,laboratory,1-to-4,9,5.06,
2019-08-21,laboratory,1-to-4,10,4.83,
2019-08-21,laboratory,1-to-4,12,5.5,
2019-08-21,laboratory,1-to-4,13,5.48,
2019-08-21,laboratory,1-to-4,14,7.1,
2019-08-21,laboratory,1-to-4,16,6.04,
2019-08-21,laboratory,1-to-4,17,6.17,
2019-08-21,laboratory,1-to-4,18,5.91,
2019-08-21,laboratory,1-to-4,19,5.48,
2019-08-21,laboratory,1-to-4,20,6.78,
2019-08-21,laboratory,1-to-4,21,6.03,
2019-08-21,laboratory,1-to-4,22,5.1,
2019-08-21,laboratory,1-to-4,23,7.03,
2019-08-21,laboratory,1-to-4,24,6.79,
2019-08-21,laboratory,1-to-4,25,5.68,
2019-08-21,laboratory,1-to-4,26,5.91,
2019-08-21,laboratory,1-to-4,27,5.38,
2019-08-21,laboratory,1-to-4,28,5.1,
2019-08-21,laboratory,1-to-4,29,5.44,
2019-08-21,laboratory,1-to-4,30,7.03,
2019-08-21,laboratory,1-to-4,31,7.06,
2019-08-21,laboratory,1-to-4,32,6.84,
2019-08-21,laboratory,1-to-4,33,6.9,
2019-08-21,laboratory,1-to-4,34,6.96,
2019-08-21,laboratory,1-to-4,35,7.38,
2019-08-21,laboratory,1-to-4,36,7.19,
2019-08-21,laboratory,1-to-4,37,7.15,
2019-08-21,laboratory,1-to-4,38,7.05,
2019-08-21,laboratory,1-to-4,39,6.99,
2019-08-21,laboratory,1-to-4,40,7.33,
2019-08-21,laboratory,1-to-4,41,6.75,
2019-08-21,laboratory,1-to-4,42,7.06,
2019-08-21,laboratory,1-to-4,43,6.28,
2019-08-21,laboratory,1-to-4,44,6.18,
2019-08-21,laboratory,1-to-4,45,6.28,
2019-08-21,laboratory,1-to-4,46,5.98,
2019-08-21,laboratory,1-to-4,47,5.84,
2019-08-21,laboratory,1-to-4,48,5.82,
2019-08-21,laboratory,1-to-4,50,6.84,
2019-08-21,laboratory,1-to-4,51,6.93,
2019-08-21,laboratory,1-to-4,52,6.69,
2019-08-21,laboratory,1-to-4,53,6.25,
2019-08-21,laboratory,1-to-4,54,5.86,
2019-08-21,laboratory,1-to-4,55,5.96,
2019-08-21,laboratory,1-to-4,56,5.65,
2019-08-21,laboratory,1-to-4,57,6.77,
2019-08-21,laboratory,1-to-4,58,6.91,
2019-08-21,laboratory,1-to-4,59,6.74,
2019-08-21,laboratory,1-to-4,60,7.44,
2019-08-21,laboratory,1-to-4,61,7.4,
2019-08-21,laboratory,1-to-4,62,7.15,
2019-08-21,laboratory,1-to-4,63,7.22,
2019-08-21,laboratory,1-to-4,64,7.22,
2019-08-21,laboratory,1-to-4,65,7.32,
2019-08-21,laboratory,1-to-4,181,6.4,
2019-08-21,laboratory,1-to-4,182,7.33,
2019-08-21,laboratory,1-to-4,183,6.25,
