,sensor [K-33 ICB],,
,CO2,,,
08/21/19 8:57:36.833,"200",,
08/21/19 8:58:06.832,"280",,
08/21/19 8:58:36.832,"310",,
08/21/19 8:59:06.832,"320",,
08/21/19 8:59:36.832,"350",,
08/21/19 9:00:06.832,"360",,
08/21/19 9:00:36.832,"370",,
08/21/19 9:01:06.832,"370",,
08/21/19 9:01:36.832,"380",,
08/21/19 9:02:06.832,"360",,
08/21/19 9:02:36.832,"380",,
08/21/19 9:03:06.832,"380",,
08/21/19 9:03:36.832,"390",,
08/21/19 9:04:06.832,"390",,
08/21/19 9:04:36.832,"400",,
08/21/19 9:05:06.832,"390",,
08/21/19 9:05:36.832,"400",,
08/21/19 9:06:06.832,"390",,
08/21/19 9:06:36.832,"400",,
08/21/19 9:07:06.832,"400",,
08/21/19 9:07:36.832,"390",,
08/21/19 9:08:06.832,"400",,
08/21/19 9:08:36.832,"400",,
08/21/19 9:09:06.833,"410",,
08/21/19 9:09:36.832,"380",,
08/21/19 9:10:06.832,"380",,
08/21/19 9:10:36.833,"380",,
08/21/19 9:11:06.833,"380",,
08/21/19 9:11:36.832,"370",,
08/21/19 9:12:06.832,"380",,
08/21/19 9:12:36.832,"360",,
08/21/19 9:13:06.832,"370",,
08/21/19 9:13:36.832,"350",,
08/21/19 9:14:06.832,"350",,
08/21/19 9:14:36.834,"350",,
08/21/19 9:15:06.832,"350",,
08/21/19 9:15:36.832,"350",,
08/21/19 9:16:06.836,"320",,
08/21/19 9:16:36.832,"360",,
08/21/19 9:17:06.832,"360",,
08/21/19 9:17:36.834,"350",,
08/21/19 9:18:06.832,"360",,
08/21/19 9:18:36.832,"370",,
08/21/19 9:19:06.832,"370",,
08/21/19 9:19:36.832,"370",,
08/21/19 9:20:06.832,"360",,
08/21/19 9:20:36.832,"350",,
08/21/19 9:21:06.833,"350",,
08/21/19 9:21:36.832,"360",,
08/21/19 9:22:06.832,"370",,
08/21/19 9:22:06.832,"370",,
08/21/19 9:22:36.832,"360",,
08/21/19 9:23:06.832,"380",,
08/21/19 9:23:36.832,"380",,
08/21/19 9:24:06.832,"380",,
08/21/19 9:24:36.832,"380",,
08/21/19 9:25:06.833,"370",,
08/21/19 9:25:36.832,"360",,
08/21/19 9:26:06.832,"360",,
08/21/19 9:26:36.832,"360",,
08/21/19 9:27:06.832,"360",,
08/21/19 9:27:36.832,"360",,
08/21/19 9:28:06.832,"370",,
08/21/19 9:28:36.832,"360",,
08/21/19 9:29:06.838,"380",,
08/21/19 9:29:36.832,"380",,
08/21/19 9:30:06.832,"350",,
08/21/19 9:30:36.832,"350",,
08/21/19 9:31:06.832,"330",,
08/21/19 9:31:36.832,"310",,
08/21/19 9:32:06.833,"330",,
08/21/19 9:32:36.832,"330",,
08/21/19 9:33:06.832,"320",,
08/21/19 9:33:36.832,"330",,
08/21/19 9:34:06.832,"340",,
08/21/19 9:34:36.832,"350",,
08/21/19 9:35:06.832,"360",,
08/21/19 9:35:36.832,"370",,
08/21/19 9:36:06.832,"360",,
08/21/19 9:36:36.837,"310",,
08/21/19 9:37:06.832,"330",,
08/21/19 9:37:36.832,"330",,
08/21/19 9:38:06.835,"350",,
08/21/19 9:38:36.832,"360",,
08/21/19 9:39:06.832,"310",,
08/21/19 9:39:36.832,"320",,
08/21/19 9:40:06.832,"330",,
08/21/19 9:40:36.832,"330",,
08/21/19 9:41:06.832,"330",,
08/21/19 9:41:36.832,"310",,
08/21/19 9:42:06.833,"330",,
08/21/19 9:42:36.832,"320",,
08/21/19 9:43:06.836,"360",,
08/21/19 9:43:36.832,"350",,
08/21/19 9:44:06.832,"350",,
08/21/19 9:44:36.832,"350",,
08/21/19 9:45:06.832,"350",,
08/21/19 9:45:36.832,"360",,
08/21/19 9:46:06.832,"380",,
08/21/19 9:46:36.832,"370",,
08/21/19 9:47:06.832,"390",,
08/21/19 9:47:36.832,"390",,
08/21/19 9:47:36.832,"390",,
08/21/19 9:48:06.832,"370",,
08/21/19 9:48:36.832,"380",,
08/21/19 9:49:06.832,"380",,
08/21/19 9:49:36.832,"380",,
08/21/19 9:50:06.839,"380",,
08/21/19 9:50:36.832,"360",,
08/21/19 9:51:06.832,"350",,
08/21/19 9:51:36.832,"350",,
08/21/19 9:52:06.832,"360",,
08/21/19 9:52:36.832,"350",,
08/21/19 9:53:06.832,"340",,
08/21/19 9:53:36.832,"340",,
08/21/19 9:54:06.832,"330",,
08/21/19 9:54:36.832,"350",,
08/21/19 9:55:06.832,"350",,
08/21/19 9:55:36.834,"350",,
08/21/19 9:56:06.832,"340",,
08/21/19 9:56:36.832,"340",,
08/21/19 9:57:06.832,"350",,
08/21/19 9:57:36.832,"340",,
08/21/19 9:58:06.835,"350",,
08/21/19 9:58:36.833,"330",,
08/21/19 9:59:06.832,"330",,
08/21/19 9:59:36.832,"330",,
08/21/19 10:00:06.832,"330",,
08/21/19 10:00:36.832,"330",,
08/21/19 10:01:06.832,"340",,
08/21/19 10:01:36.832,"350",,
08/21/19 10:02:06.832,"350",,
08/21/19 10:02:36.832,"340",,
08/21/19 10:03:06.833,"350",,
08/21/19 10:03:36.832,"320",,
08/21/19 10:04:06.832,"330",,
08/21/19 10:04:36.835,"330",,
08/21/19 10:05:06.832,"350",,
08/21/19 10:05:36.832,"350",,
08/21/19 10:06:06.833,"360",,
08/21/19 10:06:36.832,"320",,
08/21/19 10:07:06.832,"360",,
08/21/19 10:07:36.832,"350",,
08/21/19 10:08:06.832,"370",,
08/21/19 10:08:36.832,"350",,
08/21/19 10:09:06.832,"350",,
08/21/19 10:09:36.832,"340",,
08/21/19 10:10:06.832,"340",,
08/21/19 10:10:36.832,"350",,
08/21/19 10:11:06.832,"350",,
