location,date,time.real,time.second,time.minute,CO2.ppm
chamber,2019-08-13,9:42:57.800,0,,310
chamber,2019-08-13,9:43:27.805,30,,320
chamber,2019-08-13,9:43:57.801,60,,320
chamber,2019-08-13,9:44:27.800,90,,340
chamber,2019-08-13,9:44:57.800,120,,370
chamber,2019-08-13,9:45:27.800,150,,370
chamber,2019-08-13,9:45:57.800,180,,420
chamber,2019-08-13,9:46:27.802,210,,390
chamber,2019-08-13,9:46:57.800,240,,370
chamber,2019-08-13,9:47:27.800,270,,380
chamber,2019-08-13,9:47:57.800,300,,360
chamber,2019-08-13,9:48:27.800,330,,380
chamber,2019-08-13,9:48:57.800,360,,370
chamber,2019-08-13,9:49:27.808,390,,380
chamber,2019-08-13,9:49:57.804,420,,360
chamber,2019-08-13,9:50:27.800,450,,340
chamber,2019-08-13,9:50:57.800,480,,360
chamber,2019-08-13,9:51:27.800,510,,330
chamber,2019-08-13,9:51:57.800,540,,350
chamber,2019-08-13,9:52:27.800,570,,330
chamber,2019-08-13,9:52:57.800,600,,370
chamber,2019-08-13,9:53:27.800,630,,370
chamber,2019-08-13,9:53:57.808,660,,390
chamber,2019-08-13,9:54:27.807,690,,370
chamber,2019-08-13,9:54:57.800,720,,360
chamber,2019-08-13,9:55:27.800,750,,370
chamber,2019-08-13,9:55:57.805,780,,370
chamber,2019-08-13,9:56:27.800,810,,360
chamber,2019-08-13,9:56:57.800,840,,360
chamber,2019-08-13,9:57:27.800,870,,360
chamber,2019-08-13,9:57:57.800,900,,330
chamber,2019-08-13,9:58:27.800,930,,320
chamber,2019-08-13,9:58:57.801,960,,310
chamber,2019-08-13,9:59:27.803,990,,320
chamber,2019-08-13,9:59:57.800,1020,,350
chamber,2019-08-13,10:00:27.800,1050,,340
chamber,2019-08-13,10:00:57.800,1080,,330
chamber,2019-08-13,10:01:27.800,1110,,330
chamber,2019-08-13,10:01:57.804,1140,,330
chamber,2019-08-13,10:02:27.800,1170,,340
chamber,2019-08-13,10:02:57.800,1200,,350
chamber,2019-08-13,10:03:27.800,1230,,360
chamber,2019-08-13,10:03:57.800,1260,,360
chamber,2019-08-13,10:04:27.800,1290,,360
chamber,2019-08-13,10:04:57.804,1320,,370
chamber,2019-08-13,10:05:27.800,1350,,350
chamber,2019-08-13,10:05:57.800,1380,,350
chamber,2019-08-13,10:06:27.800,1410,,370
chamber,2019-08-13,10:06:57.800,1440,,370
chamber,2019-08-13,10:07:27.800,1470,,370
chamber,2019-08-13,10:07:27.800,1500,,370
chamber,2019-08-13,10:07:57.804,1530,,370
chamber,2019-08-13,10:08:27.800,1560,,380
chamber,2019-08-13,10:08:57.800,1590,,390
chamber,2019-08-13,10:09:27.800,1620,,390
chamber,2019-08-13,10:09:57.800,1650,,360
chamber,2019-08-13,10:10:27.800,1680,,370
chamber,2019-08-13,10:10:57.805,1710,,370
chamber,2019-08-13,10:11:27.800,1740,,700
chamber,2019-08-13,10:11:57.800,1770,,1830
chamber,2019-08-13,10:12:27.800,1800,,3590
chamber,2019-08-13,10:12:57.800,1830,,5990
chamber,2019-08-13,10:13:27.800,1860,,7350
chamber,2019-08-13,10:13:57.805,1890,,8770
chamber,2019-08-13,10:14:27.800,1920,,11790
chamber,2019-08-13,10:14:57.800,1950,,13680
chamber,2019-08-13,10:15:27.800,1980,,15680
chamber,2019-08-13,10:15:57.800,2010,,17410
chamber,2019-08-13,10:16:27.800,2040,,18630
chamber,2019-08-13,10:16:57.804,2070,,19960
chamber,2019-08-13,10:17:27.801,2100,,20820
chamber,2019-08-13,10:17:57.800,2130,,20890
chamber,2019-08-13,10:18:27.800,2160,,20970
chamber,2019-08-13,10:18:57.800,2190,,20990
chamber,2019-08-13,10:19:27.800,2220,,20990
chamber,2019-08-13,10:19:57.806,2250,,21000
chamber,2019-08-13,10:20:27.801,2280,,20990
chamber,2019-08-13,10:20:57.800,2310,,20990
chamber,2019-08-13,10:21:27.800,2340,,21010
chamber,2019-08-13,10:21:57.800,2370,,20980
chamber,2019-08-13,10:22:27.800,2400,,21000
chamber,2019-08-13,10:22:57.802,2430,,21010
chamber,2019-08-13,10:23:27.801,2460,,21010
chamber,2019-08-13,10:23:57.800,2490,,21040
chamber,2019-08-13,10:24:27.800,2520,,21020
chamber,2019-08-13,10:24:57.800,2550,,21020
chamber,2019-08-13,10:25:27.800,2580,,21070
chamber,2019-08-13,10:25:57.806,2610,,21000
chamber,2019-08-13,10:26:27.801,2640,,21030
chamber,2019-08-13,10:26:57.800,2670,,21010
chamber,2019-08-13,10:27:27.800,2700,,20990
chamber,2019-08-13,10:27:57.800,2730,,20980
chamber,2019-08-13,10:28:27.800,2760,,21000
chamber,2019-08-13,10:28:57.800,2790,,20980
chamber,2019-08-13,10:29:27.802,2820,,21100
chamber,2019-08-13,10:29:57.800,2850,,21100
chamber,2019-08-13,10:30:27.800,2880,,21160
chamber,2019-08-13,10:30:57.800,2910,,21150
chamber,2019-08-13,10:31:27.800,2940,,21140
chamber,2019-08-13,10:31:57.804,2970,,21100
chamber,2019-08-13,10:32:27.800,3000,,21070
chamber,2019-08-13,10:32:57.800,3030,,21050
chamber,2019-08-13,10:32:57.800,3060,,21050
chamber,2019-08-13,10:33:27.803,3090,,21050
chamber,2019-08-13,10:33:57.800,3120,,21070
chamber,2019-08-13,10:34:27.800,3150,,21050
chamber,2019-08-13,10:34:57.805,3180,,21040
chamber,2019-08-13,10:35:27.803,3210,,21050
chamber,2019-08-13,10:35:57.801,3240,,21050
chamber,2019-08-13,10:36:27.800,3270,,21010
chamber,2019-08-13,10:36:57.800,3300,,21030
chamber,2019-08-13,10:37:27.800,3330,,21060
chamber,2019-08-13,10:37:57.801,3360,,21040
chamber,2019-08-13,10:38:27.800,3390,,21080
chamber,2019-08-13,10:38:57.800,3420,,21170
chamber,2019-08-13,10:39:27.800,3450,,21170
chamber,2019-08-13,10:39:57.800,3480,,21170
chamber,2019-08-13,10:40:27.800,3510,,21190
chamber,2019-08-13,10:40:57.807,3540,,21110
chamber,2019-08-13,10:41:27.802,3570,,21120
chamber,2019-08-13,10:41:57.800,3600,,21100
chamber,2019-08-13,10:42:27.800,3630,,21140
chamber,2019-08-13,10:42:57.800,3660,,21180
chamber,2019-08-13,10:43:27.800,3690,,21170
chamber,2019-08-13,10:43:57.800,3720,,21190
chamber,2019-08-13,10:44:27.802,3750,,21170
chamber,2019-08-13,10:44:57.800,3780,,21180
chamber,2019-08-13,10:45:27.800,3810,,21160
chamber,2019-08-13,10:45:57.800,3840,,21130
chamber,2019-08-13,10:46:27.800,3870,,21160
chamber,2019-08-13,10:46:57.801,3900,,21130
chamber,2019-08-13,10:47:27.802,3930,,21120
chamber,2019-08-13,10:47:57.800,3960,,21160
chamber,2019-08-13,10:48:27.800,3990,,21170
chamber,2019-08-13,10:48:57.800,4020,,21210
chamber,2019-08-13,10:49:27.800,4050,,21190
chamber,2019-08-13,10:49:57.800,4080,,21220
chamber,2019-08-13,10:50:27.800,4110,,21200
chamber,2019-08-13,10:50:57.800,4140,,21230
chamber,2019-08-13,10:51:27.800,4170,,21190
chamber,2019-08-13,10:51:57.800,4200,,21220
chamber,2019-08-13,10:52:27.800,4230,,21160
chamber,2019-08-13,10:52:57.800,4260,,21170
chamber,2019-08-13,10:53:27.800,4290,,21160
chamber,2019-08-13,10:53:57.800,4320,,21180
chamber,2019-08-13,10:54:27.800,4350,,21160
chamber,2019-08-13,10:54:57.800,4380,,21110
chamber,2019-08-13,10:55:27.800,4410,,21150
chamber,2019-08-13,10:55:57.803,4440,,21170
chamber,2019-08-13,10:56:27.803,4470,,21170
chamber,2019-08-13,10:56:57.800,4500,,21190
chamber,2019-08-13,10:57:27.801,4530,,21180
chamber,2019-08-13,10:57:57.800,4560,,21230
chamber,2019-08-13,10:58:27.800,4590,,21230
chamber,2019-08-13,10:58:27.800,4620,,21230
chamber,2019-08-13,10:58:57.800,4650,,21260
chamber,2019-08-13,10:59:27.800,4680,,21280
chamber,2019-08-13,10:59:57.800,4710,,21280
chamber,2019-08-13,11:00:27.800,4740,,21290
chamber,2019-08-13,11:00:57.800,4770,,21300
chamber,2019-08-13,11:01:27.800,4800,,21310
chamber,2019-08-13,11:01:57.807,4830,,21300
chamber,2019-08-13,11:02:27.804,4860,,21330
chamber,2019-08-13,11:02:57.800,4890,,21340
chamber,2019-08-13,11:03:27.800,4920,,21290
chamber,2019-08-13,11:03:57.800,4950,,21270
chamber,2019-08-13,11:04:27.800,4980,,21310
chamber,2019-08-13,11:04:57.800,5010,,21280
chamber,2019-08-13,11:05:27.800,5040,,21280
chamber,2019-08-13,11:05:57.800,5070,,21250
chamber,2019-08-13,11:06:27.800,5100,,21260
chamber,2019-08-13,11:06:57.800,5130,,21280
chamber,2019-08-13,11:07:27.800,5160,,21330
chamber,2019-08-13,11:07:57.800,5190,,21310
chamber,2019-08-13,11:08:27.802,5220,,21340
chamber,2019-08-13,11:08:57.800,5250,,21340
chamber,2019-08-13,11:09:27.800,5280,,21270
chamber,2019-08-13,11:09:57.800,5310,,21250
chamber,2019-08-13,11:10:27.800,5340,,21280
chamber,2019-08-13,11:10:57.800,5370,,21310
chamber,2019-08-13,11:11:27.800,5400,,21310
chamber,2019-08-13,11:11:57.800,5430,,21320
chamber,2019-08-13,11:12:27.800,5460,,21310
chamber,2019-08-13,11:12:57.800,5490,,21320
chamber,2019-08-13,11:13:27.800,5520,,21310
chamber,2019-08-13,11:13:57.800,5550,,21310
chamber,2019-08-13,11:14:27.800,5580,,21310
chamber,2019-08-13,11:14:57.800,5610,,21310
chamber,2019-08-13,11:15:27.800,5640,,21310
chamber,2019-08-13,11:15:57.800,5670,,21290
chamber,2019-08-13,11:16:27.800,5700,,21340
chamber,2019-08-13,11:16:57.802,5730,,21290
chamber,2019-08-13,11:17:27.802,5760,,21260
chamber,2019-08-13,11:17:57.800,5790,,21270
chamber,2019-08-13,11:18:27.801,5820,,21300
chamber,2019-08-13,11:18:57.800,5850,,21310
chamber,2019-08-13,11:19:27.800,5880,,21290
chamber,2019-08-13,11:19:57.802,5910,,21320
chamber,2019-08-13,11:20:27.801,5940,,21310
chamber,2019-08-13,11:20:57.800,5970,,21300
chamber,2019-08-13,11:21:27.800,6000,,21290
chamber,2019-08-13,11:21:57.800,6030,,21350
chamber,2019-08-13,11:22:27.800,6060,,21350
chamber,2019-08-13,11:22:57.805,6090,,21330
chamber,2019-08-13,11:23:27.805,6120,,21330
chamber,2019-08-13,11:23:57.800,6150,,21360
chamber,2019-08-13,11:23:57.800,6180,,21360
chamber,2019-08-13,11:24:27.801,6210,,21330
chamber,2019-08-13,11:24:57.800,6240,,21320
chamber,2019-08-13,11:25:27.800,6270,,21330
chamber,2019-08-13,11:25:57.800,6300,,21330
chamber,2019-08-13,11:26:27.800,6330,,21360
chamber,2019-08-13,11:26:57.800,6360,,21370
chamber,2019-08-13,11:27:27.800,6390,,21420
chamber,2019-08-13,11:27:57.800,6420,,21420
chamber,2019-08-13,11:28:27.800,6450,,21420
chamber,2019-08-13,11:28:57.807,6480,,21470
chamber,2019-08-13,11:29:27.805,6510,,21450
chamber,2019-08-13,11:29:57.800,6540,,21450
chamber,2019-08-13,11:30:27.801,6570,,21430
chamber,2019-08-13,11:30:57.800,6600,,21400
chamber,2019-08-13,11:31:27.800,6630,,21430
chamber,2019-08-13,11:31:57.800,6660,,21420
chamber,2019-08-13,11:32:27.800,6690,,21460
chamber,2019-08-13,11:32:57.800,6720,,21450
chamber,2019-08-13,11:33:27.802,6750,,21420
chamber,2019-08-13,11:33:57.800,6780,,21440
chamber,2019-08-13,11:34:27.800,6810,,21440
chamber,2019-08-13,11:34:57.800,6840,,21460
chamber,2019-08-13,11:35:27.800,6870,,21570
chamber,2019-08-13,11:35:57.800,6900,,21530
chamber,2019-08-13,11:36:27.800,6930,,21500
chamber,2019-08-13,11:36:57.800,6960,,21480
chamber,2019-08-13,11:37:27.800,6990,,21480
chamber,2019-08-13,11:37:57.800,7020,,21480
chamber,2019-08-13,11:38:27.800,7050,,21450
chamber,2019-08-13,11:38:57.801,7080,,21450
chamber,2019-08-13,11:39:27.800,7110,,21470
chamber,2019-08-13,11:39:57.800,7140,,21490
chamber,2019-08-13,11:40:27.800,7170,,21500
chamber,2019-08-13,11:40:57.803,7200,,21480
chamber,2019-08-13,11:41:27.801,7230,,21520
chamber,2019-08-13,11:41:57.800,7260,,21550
chamber,2019-08-13,11:42:27.800,7290,,21510
chamber,2019-08-13,11:42:57.800,7320,,21520
chamber,2019-08-13,11:43:27.800,7350,,21520
chamber,2019-08-13,11:43:57.805,7380,,21540
chamber,2019-08-13,11:44:27.803,7410,,21530
chamber,2019-08-13,11:44:57.800,7440,,21520
chamber,2019-08-13,11:45:27.800,7470,,21540
chamber,2019-08-13,11:45:57.800,7500,,21590
chamber,2019-08-13,11:46:27.800,7530,,21570
chamber,2019-08-13,11:46:57.801,7560,,21530
chamber,2019-08-13,11:47:27.800,7590,,21520
chamber,2019-08-13,11:47:57.800,7620,,21520
chamber,2019-08-13,11:48:27.800,7650,,21530
chamber,2019-08-13,11:48:57.800,7680,,21520
chamber,2019-08-13,11:49:27.800,7710,,21490
chamber,2019-08-13,11:49:27.800,7740,,21490
chamber,2019-08-13,11:49:57.808,7770,,21510
chamber,2019-08-13,11:50:27.800,7800,,21520
chamber,2019-08-13,11:50:57.800,7830,,21530
chamber,2019-08-13,11:51:27.800,7860,,21520
chamber,2019-08-13,11:51:57.800,7890,,21560
chamber,2019-08-13,11:52:27.800,7920,,21540
chamber,2019-08-13,11:52:57.800,7950,,21540
chamber,2019-08-13,11:53:27.800,7980,,21560
chamber,2019-08-13,11:53:57.800,8010,,21560
chamber,2019-08-13,11:54:27.800,8040,,21560
chamber,2019-08-13,11:54:57.800,8070,,21570
chamber,2019-08-13,11:55:27.800,8100,,21600
chamber,2019-08-13,11:55:57.800,8130,,21650
chamber,2019-08-13,11:56:27.800,8160,,21630
chamber,2019-08-13,11:56:57.800,8190,,21640
chamber,2019-08-13,11:57:27.800,8220,,21600
chamber,2019-08-13,11:57:57.800,8250,,21560
chamber,2019-08-13,11:58:27.800,8280,,21540
chamber,2019-08-13,11:58:57.801,8310,,21540
chamber,2019-08-13,11:59:27.802,8340,,21570
chamber,2019-08-13,11:59:57.800,8370,,21600
chamber,2019-08-13,12:00:27.801,8400,,21590
chamber,2019-08-13,12:00:57.800,8430,,21630
chamber,2019-08-13,12:01:27.800,8460,,21630
chamber,2019-08-13,12:01:57.803,8490,,21590
chamber,2019-08-13,12:02:27.800,8520,,21620
chamber,2019-08-13,12:02:57.800,8550,,21630
chamber,2019-08-13,12:03:27.800,8580,,21630
chamber,2019-08-13,12:03:57.800,8610,,21630
chamber,2019-08-13,12:04:27.800,8640,,21630
chamber,2019-08-13,12:04:57.804,8670,,21630
chamber,2019-08-13,12:05:27.800,8700,,21620
chamber,2019-08-13,12:05:57.800,8730,,21590
chamber,2019-08-13,12:06:27.800,8760,,21590
chamber,2019-08-13,12:06:57.800,8790,,21640
chamber,2019-08-13,12:07:27.800,8820,,21650
chamber,2019-08-13,12:07:57.800,8850,,21650
chamber,2019-08-13,12:08:27.800,8880,,21630
chamber,2019-08-13,12:08:57.800,8910,,21640
chamber,2019-08-13,12:09:27.800,8940,,21630
chamber,2019-08-13,12:09:57.800,8970,,21650
chamber,2019-08-13,12:10:27.800,9000,,21670
chamber,2019-08-13,12:10:57.808,9030,,21650
chamber,2019-08-13,12:11:27.800,9060,,21630
chamber,2019-08-13,12:11:57.800,9090,,21660
chamber,2019-08-13,12:12:27.800,9120,,21690
chamber,2019-08-13,12:12:57.800,9150,,21670
chamber,2019-08-13,12:13:27.800,9180,,21670
chamber,2019-08-13,12:13:57.800,9210,,21660
chamber,2019-08-13,12:14:27.800,9240,,21650
chamber,2019-08-13,12:14:57.800,9270,,21670
chamber,2019-08-13,12:14:57.800,9300,,21670
chamber,2019-08-13,12:15:27.800,9330,,21680
chamber,2019-08-13,12:15:57.800,9360,,21670
chamber,2019-08-13,12:16:27.800,9390,,21710
chamber,2019-08-13,12:16:57.801,9420,,21680
chamber,2019-08-13,12:17:27.800,9450,,21700
chamber,2019-08-13,12:17:57.800,9480,,21680
chamber,2019-08-13,12:18:27.800,9510,,21690
chamber,2019-08-13,12:18:57.800,9540,,21690
chamber,2019-08-13,12:19:27.800,9570,,21710
chamber,2019-08-13,12:19:57.803,9600,,21760
chamber,2019-08-13,12:20:27.800,9630,,21760
chamber,2019-08-13,12:20:57.800,9660,,21690
chamber,2019-08-13,12:21:27.800,9690,,21720
chamber,2019-08-13,12:21:57.800,9720,,21710
chamber,2019-08-13,12:22:27.800,9750,,21710
chamber,2019-08-13,12:22:57.802,9780,,21710
chamber,2019-08-13,12:23:27.800,9810,,21710
chamber,2019-08-13,12:23:57.800,9840,,21720
