source,date,CO2.atmo,water.soil.ratio,sample,pH,time,uncolog.pH
2019-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,7.39,10:09,4.0738028E-08
2019-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.47,10:26,3.38844156E-07
2019-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.22,10:35,6.02559586E-07
2020-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.15,10:44,7.07945784E-07
2020-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.14,10:51,7.2443596E-07
2020-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.05,11:02,8.91250938E-07
2021-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.04,11:15,9.12010839E-07
2021-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.02,11:41,9.54992586E-07
2021-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6,12:12,1E-06
2022-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,5.93,12:47,1.174897555E-06
2022-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,5.99,13:33,1.023292992E-06
2022-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.09,14:04,8.12830516E-07
2023-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.17,14:39,6.76082975E-07
2023-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.17,15:06,6.76082975E-07
2023-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.1,15:37,7.94328235E-07
2024-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.05,16:05,8.91250938E-07
2024-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.11,16:48,7.76247117E-07
2024-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.04,17:24,9.12010839E-07
2025-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.06,18:04,8.7096359E-07
2025-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.09,18:38,8.12830516E-07
2025-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.02,19:07,9.54992586E-07
2026-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.07,20:11,8.51138038E-07
2026-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,,standard,6.04,20:53,9.12010839E-07
2068-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-1,tapwater,8.59,,2.570396E-09
2068-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-1,carbonate,6.59,,2.57039578E-07
2069-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-1,aceticacid,3.59,,0.000257039578277
2111-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-2,tapwater,8.31,,4.897788E-09
2111-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-2,carbonate,6.33,,4.67735141E-07
2111-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-2,aceticacid,3.74,,0.000181970085861
2153-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-3,tapwater,7.83,,1.4791084E-08
2153-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-3,carbonate,6.35,,4.46683592E-07
2153-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-3,aceticacid,3.57,,0.000269153480393
2193-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-4,tapwater,7.6,,2.5118864E-08
2193-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-4,carbonate,6.08,,8.31763771E-07
2194-08-13-hatch-ph-measurements-chamber-co2-all.csv,2019-08-13,chamber,1-to-4,aceticacid,3.52,,0.00030199517204
2019-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,standard,7.01,12:51,9.7723722E-08
2019-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,standard,7.15,13:20,7.0794578E-08
2019-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,standard,7.06,13:34,8.7096359E-08
2020-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,standard,7.11,14:15,7.7624712E-08
2020-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,standard,7.03,14:51,9.332543E-08
2020-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,standard,6.98,15:26,1.04712855E-07
2062-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,tapwater,7.65,,2.2387211E-08
2063-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,carbonate,6.08,,8.31763771E-07
2063-08-14-hatch-ph-measurements-lab-co2-1-to-1-plate.csv,2019-08-14,laboratory,1-to-1,aceticacid,3.23,,0.000588843655356
2019-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,,standard,6.83,09:52,1.47910839E-07
2019-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,,standard,6.91,10:13,1.23026877E-07
2019-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,,standard,7.12,10:31,7.5857758E-08
2020-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,,standard,6.97,10:49,1.07151931E-07
2020-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,,standard,7.14,11:13,7.2443596E-08
2020-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,,standard,6.95,11:36,1.12201845E-07
2021-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,,standard,6.98,12:17,1.04712855E-07
2063-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,1-to-2,tapwater,7.8,,1.5848932E-08
2063-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,1-to-2,carbonate,5.99,,1.023292992E-06
2063-08-19-hatch-ph-measurements-lab-co2-1-to-2-plate.csv,2019-08-19,laboratory,1-to-2,aceticacid,3.51,,0.000309029543251
2019-08-20-hatch-ph-measurements-lab-co2-1-to-3-plate.csv,2019-08-20,laboratory,,standard,7.23,09:22,5.8884366E-08
2019-08-20-hatch-ph-measurements-lab-co2-1-to-3-plate.csv,2019-08-20,laboratory,,standard,6.85,10:01,1.41253754E-07
2019-08-20-hatch-ph-measurements-lab-co2-1-to-3-plate.csv,2019-08-20,laboratory,,standard,6.84,10:33,1.44543977E-07
2020-08-20-hatch-ph-measurements-lab-co2-1-to-3-plate.csv,2019-08-20,laboratory,,standard,7.02,11:12,9.5499259E-08
2020-08-20-hatch-ph-measurements-lab-co2-1-to-3-plate.csv,2019-08-20,laboratory,,standard,6.84,12:03,1.44543977E-07
2061-08-20-hatch-ph-measurements-lab-co2-1-to-3-plate.csv,2019-08-20,laboratory,1-to-3,tapwater,8.01,,9.772372E-09
2062-08-20-hatch-ph-measurements-lab-co2-1-to-3-plate.csv,2019-08-20,laboratory,1-to-3,carbonate,6.01,,9.77237221E-07
