Water.Soil.Ratio,Sample.ID,Study,Sample.Number,DNA.Extr.MicropH.MoBio,Lab.CO2.MicropH,High.CO2.MicropH,Tube.Empty.g,Moist.Soil.g,Water.Added.mL,Tube.Dry.Soil.g,Dry.Soil.g,Soil.Water.Content.mass,Target.Water.Soil.ratio,Real.Water.Soil.ratio,Error.Water.Soil.ratio,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-1,1-K1-0-17,Wisconsin,1,,5.39,5.13,1.062,0.756,0.756,1.742,0.68,0.101,1,1.112,-0.112,64,25.2,10.8,Sandy Loam,2.5,4.6,4.9,6.3,0.13,1.64,99,44,1,237,12,40,3,,0,8.6,87,9,8/23/2018,Kemp,5.4,1,0,17
1-to-1,2-K1-17-45,Wisconsin,2,,5.36,5.1,1.067,0.785,0.785,1.783,0.716,0.088,1,1.096,-0.096,68,21.2,10.8,Sandy Loam,1.3,5.36,5.4,6.5,0.09,0.71,101,41,1,194,13,32,4,,0,6.1,85,6,8/23/2018,Kemp,5.4,1,17,45
1-to-1,3-K1-45-60,Wisconsin,3,,5.49,5.33,1.061,0.813,0.813,1.838,0.777,0.044,1,1.046,-0.046,72,19.2,8.8,Sandy Loam,0.4,6.28,5.6,7.1,0.08,0.11,37,26,4,327,96,58,28,,0,0,0,1,8/23/2018,Kemp,5.4,1,45,60
1-to-1,5-K3-0-15,Wisconsin,5,,5.04,4.87,1.068,0.807,0.807,1.78,0.712,0.118,1,1.133,-0.133,64,27.2,8.8,Sandy Loam,4,4.38,4.7,6.1,0.18,2.52,63,67,1,382,15,85,5,,0,10.9,84,13,8/23/2018,Kemp,5.4,3,0,15
1-to-1,6-K3-15-35,Wisconsin,6,,5.34,5.2,1.051,0.826,0.826,1.799,0.748,0.094,1,1.104,-0.104,60,31.2,8.8,Sandy Loam,1.5,5.05,5.1,6.4,0.12,0.77,40,57,2,170,11,39,4,,0,7,87,7,8/23/2018,Kemp,5.4,3,15,35
1-to-1,7-K3-35-50,Wisconsin,7,,5.32,5.15,1.056,0.76,0.76,1.768,0.712,0.063,1,1.067,-0.067,70,19.2,10.8,Sandy Loam,0.8,5.76,5.2,6.7,0.11,0.33,24,63,3,189,19,38,6,,0,4,78,4,8/23/2018,Kemp,5.4,3,35,50
1-to-1,8-K4-0-15,Wisconsin,8,,5.07,4.74,1.065,0.795,0.795,1.82,0.755,0.05,1,1.053,-0.053,78,15.2,6.8,Loamy Sand,2.5,4.89,4.5,6.1,0.13,1.63,18,42,1,122,5,22,2,,0,10.7,94,10,8/23/2018,Kemp,5.4,4,0,15
1-to-1,9-K4-15-30,Wisconsin,9,,5.22,5.15,1.064,0.859,0.859,1.872,0.808,0.059,1,1.063,-0.063,74,15.2,10.8,Sandy Loam,1.4,5.44,5,6.4,0.11,0.68,64,29,1,22,1,6,1,,0,7.3,98,6,8/23/2018,Kemp,5.4,4,15,30
1-to-1,10-K4-30-50,Wisconsin,10,,5.31,4.98,1.06,0.828,0.828,1.846,0.786,0.051,1,1.053,-0.053,72,15.2,12.8,Sandy Loam,0.8,5.51,4.4,6.5,0.11,0.34,16,23,1,22,2,5,1,,0,5.5,97,4,8/23/2018,Kemp,5.4,4,30,50
1-to-1,11-R1-0-27,Wisconsin,11,,5.9,5.79,1.067,0.796,0.796,1.844,0.777,0.024,1,1.024,-0.024,82,11.2,6.8,Loamy Sand,1.2,6.16,5.5,6.8,0.13,0.81,197,62,6,134,23,8,2,,0,2,71,2,8/24/2018,Rhinelander,5.5,1,0,27
