step.num,Step,date,solution,mV,pH,Sample.Index
,standard,2019-10-17,storage,166.3,4.151,storage
,standard,2019-10-17,pH.std.4,176,3.979,pH.std.4
,standard,2019-10-17,pH.std.7,3.7,7.041,pH.std.7
,standard,2019-10-17,pH.std.10,-161.5,9.978,pH.std.10
1, after c1,2019-10-17,1,-96.7,8.826,001-K1-0-17
1, after c1,2019-10-17,2,-113.3,9.121,002-K1-17-45
1, after c1,2019-10-17,3,-127.7,9.377,003-K1-45-60
1, after c1,2019-10-17,5,-89.3,8.694,005-K3-0-15
1, after c1,2019-10-17,6,-108.3,9.032,006-K3-15-35
1, after c1,2019-10-17,7,-116.5,9.178,007-K3-35-50
1, after c1,2019-10-17,8,-86.7,8.648,008-K4-0-15
1, after c1,2019-10-17,9,-107.5,9.018,009-K4-15-30
1, after c1,2019-10-17,10,-114.7,9.146,010-K4-30-50
1, after c1,2019-10-17,11,-110.5,9.071,011-R1-0-27
1, after c1,2019-10-17,12,-132.5,9.462,012-R1-27-50
1, after c1,2019-10-17,13,-136.3,9.53,013-R1-50-70
1, after c1,2019-10-17,14,-123.5,9.302,014-R2-0-30
1, after c1,2019-10-17,15,-130,9.418,015-R2-30-45
1, after c1,2019-10-17,16,-131.7,9.448,016-R2-45-60
1, after c1,2019-10-17,17,-137,9.542,017-R2-60-10
1, after c1,2019-10-17,18,-116.3,9.174,018-R3-0-20
1, after c1,2019-10-17,19,-120,9.24,019-R3-20-30
1, after c1,2019-10-17,20,-100.7,8.897,020-M1-0-31
1, after c1,2019-10-17,21,-107.5,9.018,021-M1-31-50
1, after c1,2019-10-17,22,-91.7,8.737,022-M1-50-70
1, after c1,2019-10-17,23,-102,8.92,023-M2-0-24
1, after c1,2019-10-17,24,-106.5,9,024-M2-24-38
1, after c1,2019-10-17,25,-101.5,8.911,025-M2-38-55
1, after c1,2019-10-17,26,-97.7,8.844,026-M3-0-15
1, after c1,2019-10-17,27,-96.7,8.826,027-M3-15-30
1, after c1,2019-10-17,30,-127,9.364,030-H1-0-30
1, after c1,2019-10-17,31,-128.3,9.388,031-H1-30-40
1, after c1,2019-10-17,32,-129.7,9.412,032-H1-40-60
1, after c1,2019-10-17,33,-118.7,9.217,033-H2-0-30
1, after c1,2019-10-17,34,-129,9.4,034-H2-30-60
1, after c1,2019-10-17,35,-102.3,8.925,035-A249-0-35
1, after c1,2019-10-17,36,-101.5,8.911,036-A249-35-60
1, after c1,2019-10-17,37,-98.5,8.858,037-A341-0-33
1, after c1,2019-10-17,38,-88.3,8.677,038-A341-33-55
1, after c1,2019-10-17,39,-100,8.885,039-A341-55-75
1, after c1,2019-10-17,40,-107,9.009,040-A341-75-85
1, after c1,2019-10-17,41,-107.5,9.018,041-L2-0-23
1, after c1,2019-10-17,42,-110,9.062,042-L2-23-45
1, after c1,2019-10-17,43,-102.3,8.925,043-L3-0-12
1, after c1,2019-10-17,44,-98,8.849,044-L3-12-20
1, after c1,2019-10-17,45,-98.7,8.861,045-L3-20-40
1, after c1,2019-10-17,46,-101.7,8.915,046-L4-0-10
1, after c1,2019-10-17,47,-103.5,8.947,047-L4-10-20
1, after c1,2019-10-17,48,-108.5,9.036,048-L4-20-40
1, after c1,2019-10-17,50,-97.5,8.84,050-W4-0-28
1, after c1,2019-10-17,51,-106.5,9,051-W4-28-45
1, after c1,2019-10-17,52,-114.7,9.146,052-W4-45-55
1, after c1,2019-10-17,53,-93.7,8.773,053-W5-0-35
1, after c1,2019-10-17,54,-78.3,8.499,054-W5-35-65
1, after c1,2019-10-17,55,-93.7,8.773,055-W7-0-15
1, after c1,2019-10-17,56,-99.7,8.879,056-W7-15-30
1, after c1,2019-10-17,57,-116.3,9.174,057-P1-0-30
1, after c1,2019-10-17,58,-117.5,9.196,058-P1-30-45
1, after c1,2019-10-17,59,-125.7,9.341,059-P1-45-55
1, after c1,2019-10-17,60,-111,9.08,060-P2-0-20
1, after c1,2019-10-17,61,-116,9.169,061-P2-20-45
1, after c1,2019-10-17,62,-124.5,9.32,062-P2-45-55
1, after c1,2019-10-17,63,-108,9.027,063-P4-0-25
1, after c1,2019-10-17,64,-110.5,9.071,064-P4-25-35
1, after c1,2019-10-17,65,-120,9.24,065-P4-35-50
1, after c1,2019-10-17,181,-111,9.08,181-SP-0-20
1, after c1,2019-10-17,182,-113,9.116,182-SP-0-20
1, after c1,2019-10-17,183,-114,9.133,183-SP-0-20
1, after c1,2019-10-17,184,-116.7,9.181,184-SP-0-20
1, after c1,2019-10-17,185,-112.7,9.11,185-SP-0-20
1, after c1,2019-10-17,186,-116.5,9.178,186-SP-0-20
1, after c1,2019-10-17,187,-114.3,9.139,187-SP-0-20
1, after c1,2019-10-17,188,-114.5,9.142,188-SP-0-20
1, after c1,2019-10-17,189,-115.3,9.156,189-SP-0-20
1, after c1,2019-10-17,190,-108.5,9.036,190-SP-0-20
1, after c1,2019-10-17,191,-109.7,9.057,191-SP-0-20
1, after c1,2019-10-17,192,-110.3,9.068,192-SP-0-20
1, after c1,2019-10-17,193,-106.5,9,193-SP-0-20
1, after c1,2019-10-17,194,-102.5,8.929,194-SP-0-20
1, after c1,2019-10-17,195,-109.5,9.053,195-SP-0-20
1, after c1,2019-10-17,196,-118.3,9.21,196-SP-0-20
1, after c1,2019-10-17,197,-117.7,9.199,197-SP-0-20
1, after c1,2019-10-17,198,-113.5,9.124,198-SP-0-20
1, after c1,2019-10-17,199,-104,8.956,199-SP-0-20
1, after c1,2019-10-17,200,-110,9.062,200-SP-0-20
1, after c1,2019-10-17,201,-114.3,9.139,201-SP-0-20
1, after c1,2019-10-17,202,-116.3,9.174,202-SP-0-20
1, after c1,2019-10-17,203,-117.5,9.196,203-SP-0-20
1, after c1,2019-10-17,204,-119.7,9.235,204-SP-0-20
1, after c1,2019-10-17,205,-109.5,9.053,205-SP-0-20
1, after c1,2019-10-17,206,-106.7,9.004,206-SP-0-20
1, after c1,2019-10-17,207,-113.3,9.121,207-SP-0-20
1, after c1,2019-10-17,208,-115.7,9.164,208-SP-0-20
1, after c1,2019-10-17,209,-115.5,9.16,209-SP-0-20
1, after c1,2019-10-17,210,-111.7,9.092,210-SP-0-20
1, after c1,2019-10-17,211,-106.5,9,211-SP-0-20
1, after c1,2019-10-17,212,-116.7,9.181,212-SP-0-20
1, after c1,2019-10-17,213,-116.3,9.174,213-SP-0-20
1, after c1,2019-10-17,214,-121.7,9.27,214-SP-0-20
1, after c1,2019-10-17,215,-120,9.24,215-SP-0-20
1, after c1,2019-10-17,216,-118.3,9.21,216-SP-0-20
1, after c1,2019-10-17,217,-127,9.364,217-SP-0-20
1, after c1,2019-10-17,218,-126.3,9.352,218-SP-0-20
1, after c1,2019-10-17,219,-119.5,9.231,219-SP-0-20
1, after c1,2019-10-17,220,-123.7,9.306,220-SP-0-20
1, after c1,2019-10-17,221,-127.5,9.373,221-SP-0-20
1, after c1,2019-10-17,222,-127,9.364,222-SP-0-20
1, after c1,2019-10-17,223,-126,9.347,223-SP-0-20
1, after c1,2019-10-17,224,-123.7,9.306,224-SP-0-20
1, after c1,2019-10-17,225,-128.5,9.391,225-SP-0-20
1, after c1,2019-10-17,226,-124.7,9.324,226-SP-0-20
1, after c1,2019-10-17,227,-126.3,9.352,227-SP-0-20
1, after c1,2019-10-17,228,-128.3,9.388,228-SP-0-20
1, after c1,2019-10-17,229,-114,9.133,229-SP-0-20
1, after c1,2019-10-17,230,-110.3,9.068,230-SP-0-20
1, after c1,2019-10-17,231,-116.5,9.178,231-SP-0-20
1, after c1,2019-10-17,232,-122.3,9.281,232-SP-0-20
1, after c1,2019-10-17,233,-120.3,9.245,233-SP-0-20
1, after c1,2019-10-17,234,-123.3,9.299,234-SP-0-20
1, after c1,2019-10-17,235,-124.7,9.324,235-SP-0-20
1, after c1,2019-10-17,236,-119.7,9.235,236-SP-0-20
1, after c1,2019-10-17,237,-116,9.169,237-SP-0-20
1, after c1,2019-10-17,238,-119.7,9.235,238-SP-0-20
1, after c1,2019-10-17,239,-109.5,9.053,239-SP-0-20
1, after c1,2019-10-17,240,-108.5,9.036,240-SP-0-20
,standard,2019-10-17,bead.beating,-104.3,8.961,bead.beating
,standard,2019-10-17,solution.c1,-160.5,9.96,solution.c1
,standard,2019-10-17,solution.c2,-12,7.32,solution.c2
,standard,2019-10-17,solution.c3,214,3.303,solution.c3
,standard,2019-10-17,solution.c4,27.5,6.618,solution.c4
,standard,2019-10-17,solution.c5,-36.5,7.756,solution.c5
,standard,2019-10-18,storage,166,4.156,storage
,standard,2019-10-18,pH.std.4,175.3,3.991,pH.std.4
,standard,2019-10-18,pH.std.7,3.5,7.045,pH.std.7
,standard,2019-10-18,pH.std.10,-168.3,10.099,pH.std.10
2, after c2,2019-10-18,1,-38,7.782,001-K1-0-17
2, after c2,2019-10-18,2,-50,7.996,002-K1-17-45
2, after c2,2019-10-18,3,-49,7.978,003-K1-45-60
2, after c2,2019-10-18,5,-34.3,7.717,005-K3-0-15
2, after c2,2019-10-18,6,-44.7,7.902,006-K3-15-35
2, after c2,2019-10-18,7,-46,7.925,007-K3-35-50
2, after c2,2019-10-18,8,-35.3,7.734,008-K4-0-15
2, after c2,2019-10-18,9,-44.5,7.898,009-K4-15-30
2, after c2,2019-10-18,10,-46.5,7.934,010-K4-30-50
2, after c2,2019-10-18,11,-44.5,7.898,011-R1-0-27
2, after c2,2019-10-18,12,-46.7,7.937,012-R1-27-50
2, after c2,2019-10-18,13,-48.7,7.973,013-R1-50-70
