Water.Soil.Ratio,Sample.ID,Sample.Num,Random.Num.1.to.65,Study,Sample.Number,DNA.Extr.pH.After.C1,DNA.Extr.pH.After.C2,Lab.CO2.pH.one2one,Lab.CO2.pH.one2two,Lab.CO2.pH.one2three,Lab.CO2.pH.one2four,High.CO2.pH.one2one,High.CO2.pH.one2two,High.CO2.pH.one2three,High.CO2.pH.one2four,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Ac.Hplus,Hplus.perc.CEC,CEC.sum,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-1,001-K1-0-17,1,24.3281016343251,Wisconsin,1,8.826,7.782,5.39,4.87,5.08,5.05,5.13,4.93,5.15,5.05,64,25.2,10.8,Sandy Loam,2.5,4.6,4.9,6.3,0.13,1.64,99,44,1,237,12,40,3,,0,8.6,87,9,8/23/2018,Kemp,5.4,1,0,17
1-to-1,002-K1-17-45,2,12.8977982485834,Wisconsin,2,9.121,7.996,5.36,5.2,5.34,5.22,5.1,5.33,5.44,5.36,68,21.2,10.8,Sandy Loam,1.3,5.36,5.4,6.5,0.09,0.71,101,41,1,194,13,32,4,,0,6.1,85,6,8/23/2018,Kemp,5.4,1,17,45
1-to-1,003-K1-45-60,3,4.44070639904776,Wisconsin,3,9.377,7.978,5.49,5.48,5.41,5.27,5.33,5.01,5.57,5.49,72,19.2,8.8,Sandy Loam,0.4,6.28,5.6,7.1,0.08,0.11,37,26,4,327,96,58,28,,0,0,0,1,8/23/2018,Kemp,5.4,1,45,60
,004-K2-Muck,4,48.6383119272862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-to-1,005-K3-0-15,5,26.728685304787,Wisconsin,5,8.694,7.717,5.04,4.99,5.01,5.01,4.87,5.01,5.12,5.05,64,27.2,8.8,Sandy Loam,4,4.38,4.7,6.1,0.18,2.52,63,67,1,382,15,85,5,,0,10.9,84,13,8/23/2018,Kemp,5.4,3,0,15
1-to-1,006-K3-15-35,6,6.01819879625041,Wisconsin,6,9.032,7.902,5.34,5.28,5.16,4.98,5.2,5.22,5.3,5.28,60,31.2,8.8,Sandy Loam,1.5,5.05,5.1,6.4,0.12,0.77,40,57,2,170,11,39,4,,0,7,87,7,8/23/2018,Kemp,5.4,3,15,35
1-to-1,007-K3-35-50,7,46.8659277208133,Wisconsin,7,9.178,7.925,5.32,5.2,5.13,4.99,5.15,5.24,5.25,5.28,70,19.2,10.8,Sandy Loam,0.8,5.76,5.2,6.7,0.11,0.33,24,63,3,189,19,38,6,,0,4,78,4,8/23/2018,Kemp,5.4,3,35,50
1-to-1,008-K4-0-15,8,11.1941972668391,Wisconsin,8,8.648,7.734,5.07,4.87,4.77,4.6,4.74,4.91,4.94,4.95,78,15.2,6.8,Loamy Sand,2.5,4.89,4.5,6.1,0.13,1.63,18,42,1,122,5,22,2,,0,10.7,94,10,8/23/2018,Kemp,5.4,4,0,15
1-to-1,009-K4-15-30,9,17.7024564067913,Wisconsin,9,9.018,7.898,5.22,5.13,5.06,5.06,5.15,5.1,5.13,5.27,74,15.2,10.8,Sandy Loam,1.4,5.44,5,6.4,0.11,0.68,64,29,1,22,1,6,1,,0,7.3,98,6,8/23/2018,Kemp,5.4,4,15,30
1-to-1,010-K4-30-50,10,16.6870048248144,Wisconsin,10,9.146,7.934,5.31,5.03,4.99,4.83,4.98,4.91,5.11,5.05,72,15.2,12.8,Sandy Loam,0.8,5.51,4.4,6.5,0.11,0.34,16,23,1,22,2,5,1,,0,5.5,97,4,8/23/2018,Kemp,5.4,4,30,50
