Accession	Sample Name	Organism	Tax ID	
SAMN06198684	C172N1	metagenome	256318	
SAMN06198685	C172N2	metagenome	256318	
SAMN06198686	C172N3	metagenome	256318	
SAMN06198687	C172P1	metagenome	256318	
SAMN06198688	C172P2	metagenome	256318	
SAMN06198689	C172P3	metagenome	256318	
SAMN06198690	C172S1	metagenome	256318	
SAMN06198691	C172S2	metagenome	256318	
SAMN06198692	C172S3	metagenome	256318	
SAMN06198693	C178N1	metagenome	256318	
SAMN06198694	C178N2	metagenome	256318	
SAMN06198695	C178N3	metagenome	256318	
SAMN06198696	C178P1	metagenome	256318	
SAMN06198697	C178P2	metagenome	256318	
SAMN06198698	C178P3	metagenome	256318	
SAMN06198699	C178S1	metagenome	256318	
SAMN06198700	C178S2	metagenome	256318	
SAMN06198701	C178S3	metagenome	256318	
SAMN06198702	C185N1	metagenome	256318	
SAMN06198703	C185N2	metagenome	256318	
SAMN06198704	C185N3	metagenome	256318	
SAMN06198705	C185P1	metagenome	256318	
SAMN06198706	C185P2	metagenome	256318	
SAMN06198707	C185P3	metagenome	256318	
SAMN06198708	C185S1	metagenome	256318	
SAMN06198709	C185S2	metagenome	256318	
SAMN06198710	C185S3	metagenome	256318	
SAMN06198711	C199N1	metagenome	256318	
SAMN06198712	C199N2	metagenome	256318	
SAMN06198713	C199N3	metagenome	256318	
SAMN06198714	C199P1	metagenome	256318	
SAMN06198715	C199P2	metagenome	256318	
SAMN06198716	C199P3	metagenome	256318	
SAMN06198717	C199S1	metagenome	256318	
SAMN06198718	C199S2	metagenome	256318	
SAMN06198719	C199S3	metagenome	256318	
SAMN06198720	C206N1	metagenome	256318	
SAMN06198721	C206N2	metagenome	256318	
SAMN06198722	C206N3	metagenome	256318	
SAMN06198723	C206P1	metagenome	256318	
SAMN06198724	C206P2	metagenome	256318	
SAMN06198725	C206S1	metagenome	256318	
SAMN06198726	C206S2	metagenome	256318	
SAMN06198727	C214N1	metagenome	256318	
SAMN06198728	C214N2	metagenome	256318	
SAMN06198729	C214N3	metagenome	256318	
SAMN06198730	C214P1	metagenome	256318	
SAMN06198731	C214P2	metagenome	256318	
SAMN06198732	C214P3	metagenome	256318	
SAMN06198733	C214S1	metagenome	256318	
SAMN06198734	C214S2	metagenome	256318	
SAMN06198735	C214S3	metagenome	256318	
